x,y,z,labels
2.8464775,11.871981,8.257533,3
1.0152993,13.988406,8.590118,12
-0.34762704,12.103074,8.593596,-1
0.33116966,11.944757,8.501095,-1
0.17386992,12.042255,8.306355,19
3.489778,12.506915,9.071493,4
0.62290657,11.623582,9.212911,-1
0.4936601,12.233579,8.541698,17
1.4382203,13.289172,9.031485,-1
1.8005412,12.47194,9.690852,8
1.8607422,11.22288,11.305096,-1
1.5889614,12.983051,8.83505,-1
1.2920191,11.040987,10.6365185,-1
0.51314723,11.571839,8.413644,-1
0.53167367,11.581762,8.426908,-1
3.0654616,11.991825,9.142478,-1
1.9963192,13.216316,10.179649,-1
-0.15033308,11.853311,9.010083,-1
1.3579977,11.879779,9.482123,11
0.6730962,13.248339,8.997241,-1
1.6201535,10.780471,11.076768,-1
2.8662229,12.407839,10.800698,7
2.8332314,13.6332,9.462703,-1
3.5166886,12.483605,9.086376,4
2.2995317,13.6115055,8.362173,-1
2.4570515,12.673818,10.79042,7
0.39989054,12.039722,9.552429,20
2.2580888,13.518238,9.150626,-1
1.8385799,11.769598,9.414405,-1
0.07878584,12.776017,9.083865,-1
2.5628312,13.91733,9.16628,-1
3.0831542,11.042611,8.390681,1
1.8701458,13.837278,9.558663,-1
2.45028,13.841957,9.566427,16
3.0206144,11.860281,9.676549,-1
0.50969076,12.639179,8.441874,-1
2.2366688,12.528264,11.001142,7
2.2804604,11.896646,8.58416,3
3.063146,11.639142,10.463915,-1
3.401669,12.643518,9.001948,4
2.3755345,10.643764,11.412655,2
1.2772211,13.77936,8.690601,12
0.69659704,12.558611,8.74335,-1
1.0205003,12.382702,8.391296,18
2.2154887,13.0620165,9.186136,-1
-0.14085664,11.591413,8.711016,20
1.2618483,12.001149,10.010953,-1
2.653718,12.053988,10.495266,-1
-0.11159091,12.799523,8.661518,19
-0.16124752,12.686265,8.61885,19
1.7187924,13.054451,9.550253,8
2.3306603,13.256348,8.431684,-1
2.6206257,11.966977,7.8765483,3
1.6974242,11.12099,10.393329,-1
2.2927365,12.573853,10.850822,7
1.0869511,12.340004,9.6317835,-1
2.4316897,12.391823,11.108176,7
2.2327724,10.529775,11.496402,2
2.0746107,13.52692,8.741563,-1
2.0680766,10.478113,11.526006,2
-0.047191184,12.526266,9.07721,19
